"p_val","avg_log2FC","pct.1","pct.2","p_val_adj","cluster","gene"
1.62932512556574e-104,1.26325053424147,0.541,0.291,3.74190808337427e-100,"2","Chmp3"
7.92510446666604e-104,1.6107081593474,0.593,0.347,1.82007949181452e-99,"2","Ap2a2"
8.92958449907078e-104,1.65752742484657,0.334,0.134,2.0507683760566e-99,"2","Dock1"
9.08682922971994e-104,1.35686619923821,0.644,0.412,2.08688120089748e-99,"2","Uqcrq"
1.10739469551336e-103,2.25183319291621,0.254,0.087,2.54324265771597e-99,"2","Plaur"
2.60730622575312e-103,1.77044515032914,0.301,0.113,5.98793947806461e-99,"2","Nav1"
5.48908446394071e-103,1.633705415088,0.495,0.269,1.26062313798862e-98,"2","Banf1"
5.98367387038849e-103,1.64020448410872,0.584,0.35,1.37421054107342e-98,"2","Tomm7"
6.4830055801494e-103,0.998837467192604,0.7,0.464,1.48888706153711e-98,"2","Arl6ip5"
8.45579828160883e-103,1.40353576255912,0.494,0.257,1.94195863335428e-98,"2","Tmem184b"
2.19672044549912e-102,0.524242681188142,0.96,0.865,5.04498817513328e-98,"2","H2-D1"
6.27659972513601e-102,1.61798373702953,0.519,0.283,1.44148389287474e-97,"2","Kdm6b"
7.17722916473873e-102,1.52325674845312,0.269,0.093,1.6483224499739e-97,"2","Prr5l"
1.03100285524115e-101,1.21674759774037,0.897,0.786,2.36780115734683e-97,"2","Rpl35"
1.32628053076778e-101,1.32625927041001,0.559,0.318,3.04593586696129e-97,"2","Rock1"
1.79404911752329e-101,0.80502973138965,0.332,0.133,4.12021320330398e-97,"2","Spry2"
4.47930749071302e-101,0.861667178675276,0.809,0.6,1.02871775831715e-96,"2","Pkm2"
8.78607865224734e-101,1.11570395718488,0.57,0.312,2.01781082327512e-96,"2","Vamp3"
3.61776209878819e-100,1.23334604796501,0.617,0.371,8.30855243607696e-96,"2","Atp5o"
4.97272326335678e-100,1.85215072526751,0.317,0.129,1.14203562466252e-95,"2","Vps36"
6.75704322287008e-100,1.47077713578256,0.726,0.509,1.55182254656434e-95,"2","Atp5j2"
8.97315261314634e-100,1.16112532753331,0.641,0.395,2.06077422913519e-95,"2","Bcl2l1"
1.0880074352531e-99,1.61227521096868,0.402,0.185,2.49871787580226e-95,"2","Lats2"
2.0283185716929e-99,1.92273895730111,0.418,0.203,4.65823643174991e-95,"2","Pnkd"
2.29772867821225e-99,1.19724022575054,0.694,0.461,5.27696368238225e-95,"2","Tomm6"
2.78136964498607e-99,1.44986758607338,0.495,0.261,6.387693526675e-95,"2","Strn3"
